Instructor,Rating,Would Take Again,Difficulty,Tags
Steven James Barrera,5/5,99%,3,"Amazing lectures, Respected, Caring, Clear grading criteria, EXTRA CREDIT"
Izumi Takeda,5/5,100%,1.2,"Caring, Would take again, Gives good feedback, Inspirational, Participation matters"
Elizabeth Sophie Lapidow,FAILED SEARCH,FAILED SEARCH,FAILED SEARCH,
Elizabeth Sophie,3.3/5,80%,2.4,"Respected, Amazing lectures, Caring, Clear grading criteria, Would take again"
CHECK INFO,CHECK INFO,CHECK INFO,CHECK INFO,
Justin Roberts,3.1/5,65%,3,"Respected, Lots of homework, Caring, Amazing lectures, Inspirational"
Ifan Chen,N/A,N/A,N/A,
Monique Luise Vangenderen,5/5,100%,3,"Participation matters, Gives good feedback, Caring"
Benjamin Lawrence Ochoa,2/5,24%,4.8,"Tough grader, Lots of homework, Test heavy, Skip class? You won't pass., Lecture heavy"
Jessica Marie Rusert,2.9/5,43%,3.9,"Lots of homework, Tough grader, Test heavy, Lecture heavy, Get ready to read"
Sophie Staschus,4.8/5,89%,2.6,"Gives good feedback, Caring, Participation matters, Skip class? You won't pass., Hilarious"
Mamadou Lamine Diagne,2.4/5,34%,3.1,"Accessible outside class, Gives good feedback, Beware of pop quizzes, Respected"
Amanda Alicia,N/A,N/A,N/A,
CHECK INFO,CHECK INFO,CHECK INFO,CHECK INFO,
Ryan James Moran,N/A,N/A,N/A,
Kwai Ng,4.3/5,75%,2.5,"Participation matters, Respected, Tough grader, Clear grading criteria, Caring"
Michael Raymond Landry,3.9/5,100%,2,"Respected, Test heavy, Graded by few things"
Paul David Curcio,3.6/5,80%,2.3,"Participation matters, Amazing lectures, Gives good feedback, Caring, Accessible outside class"
Vitali F Nesterenko,2.8/5,50%,2.5,"Skip class? You won't pass., Caring, Accessible outside class"
Katharine L,4.6/5,94%,2.6,"Clear grading criteria, EXTRA CREDIT, Caring, Accessible outside class, Amazing lectures"
CHECK INFO,CHECK INFO,CHECK INFO,CHECK INFO,
Mark A,4.1/5,67%,2.9,"Amazing lectures, So many papers, Lecture heavy, Tough grader, Get ready to read"
CHECK INFO,CHECK INFO,CHECK INFO,CHECK INFO,
Quinn Morgan Konopacky,3.8/5,67%,3.1,"Lots of homework, Lecture heavy, Clear grading criteria, Caring, EXTRA CREDIT"
Olga Lazitski Torres,N/A,N/A,N/A,
Ruben Rodriguez,5/5,100%,1.8,"Caring, Gives good feedback, Inspirational, Clear grading criteria, Respected"
Matthias Morzfeld,4/5,100%,3,"Skip class? You won't pass., Respected, Test heavy, Accessible outside class"
Ananda Goldrath,4/5,50%,4,"EXTRA CREDIT, Get ready to read, Amazing lectures, Would take again, Inspirational"
Marcos Balter Ma Da Silva,2.6/5,100%,2,"Participation matters, Skip class? You won't pass., Clear grading criteria, Gives good feedback"
Nancy A Caciola,4.8/5,100%,3.5,"Get ready to read, Lecture heavy, Amazing lectures, Inspirational, Participation matters"
CHECK INFO,CHECK INFO,CHECK INFO,CHECK INFO,
Andrew Matschiner,4/5,N/A,2.7,None
Benjamin David Rosenberg,4.8/5,N/A,2.2,"Get ready to read, EXTRA CREDIT, Tests? Not many"
Adam Brooks Fefer,5/5,98%,2.3,"Amazing lectures, Respected, Hilarious, Clear grading criteria, Gives good feedback"
Stacey Brydges,5.3/5,68%,4.8,"Caring, Accessible outside class, Lots of homework, Lecture heavy, Respected"
Marco Carfagnini,4/5,100%,3,"Caring, Test heavy, Amazing lectures, Lecture heavy, Graded by few things"
Malgorzata Herc-Balaszek,N/A,N/A,N/A,
Romain Delaville,5/5,100%,2,"Participation matters, Gives good feedback, Respected"
Seth Lerer,4.4/5,87%,2.5,"Amazing lectures, Respected, Hilarious, Inspirational, Get ready to read"
Suckjoon Jun,2.3/5,47%,4.5,"Test heavy, Tough grader, Skip class? You won't pass., Get ready to read, Graded by few things"
Michael Francis Seese,5/5,100%,3,"Amazing lectures, Clear grading criteria, Gives good feedback"
Leonid Butov,2.9/5,72%,1.9,"Respected, Graded by few things, Get ready to read, Clear grading criteria, Gives good feedback"
Michael J,5/5,100%,3,"Hilarious, Lecture heavy, Graded by few things"
CHECK INFO,CHECK INFO,CHECK INFO,CHECK INFO,
James M.D.,N/A,N/A,N/A,
CHECK INFO,CHECK INFO,CHECK INFO,CHECK INFO,
Jane Teranes,4.4/5,100%,2.4,"Caring, Skip class? You won't pass., Tough grader, Get ready to read, Participation matters"
Todd Aahron Kemp,4.6/5,100%,3.8,"Amazing lectures, Hilarious, Caring, Respected, Inspirational"
Elisa Benzoni,2.6/5,50%,4.6,"Tough grader, Skip class? You won't pass., Lecture heavy, Gives good feedback, Lots of homework"
Gurol Mehmet Suel,4.9/5,87%,3.5,"Amazing lectures, Clear grading criteria, Test heavy, Graded by few things, Caring"
Robert J. Ternansky,4/5,58%,3.9,"Tough grader, Skip class? You won't pass., Amazing lectures, Test heavy, Respected"
Page Ann duBois,4/5,83%,3,"Lecture heavy, Get ready to read, Respected, Hilarious, Graded by few things"
Kisun Lee,4.6/5,92%,3.1,"Caring, Accessible outside class, Amazing lectures, Lots of homework, Gives good feedback"
Steven Schick,4.6/5,86%,1.3,"Lecture heavy, Skip class? You won't pass., Amazing lectures, Inspirational, Graded by few things"
Karen R. Dobkins,4.3/5,72%,2.8,"Skip class? You won't pass., Inspirational, Amazing lectures, Caring, Graded by few things"
Heidi M. Keller-Lapp,3.8/5,100%,4,"Get ready to read, Lots of homework, Tough grader, Participation matters, Group projects"
Kenneth Anderson,5/5,100%,1.3,"Respected, Hilarious, Inspirational, Participation matters, Would take again"
Brandon D Som,3.5/5,100%,2,"Clear grading criteria, Gives good feedback, So many papers, Caring"
Jennifer Susan,3.9/5,63%,3.4,"Skip class? You won't pass., Clear grading criteria, Would take again, Lecture heavy, EXTRA CREDIT"
CHECK INFO,CHECK INFO,CHECK INFO,CHECK INFO,
Kuanpo Lin,5/5,100%,3.5,"Caring, Amazing lectures, Clear grading criteria, Gives good feedback, Inspirational"
Marc Alexander Barricelli,2.6/5,50%,3.4,"Test heavy, Lots of homework, Lecture heavy, Clear grading criteria, Tough grader"
Maria Jose,5/5,100%,2.9,"Gives good feedback, Caring, Respected, Inspirational, Participation matters"
CHECK INFO,CHECK INFO,CHECK INFO,CHECK INFO,
Blythe Greene,5/5,100%,3.3,"Hilarious, Tough grader, Amazing lectures, Caring, Respected"
Yuan Hu,1.8/5,100%,4.2,"Tough grader, Test heavy, Graded by few things, Clear grading criteria, Lots of homework"
Jessica Miguel,N/A,N/A,N/A,
Yuanyuan Shi,3.1/5,67%,3.1,"Lecture heavy, Graded by few things, Tough grader, Get ready to read, Clear grading criteria"
Mackenzie William,1.9/5,0%,3.5,"Skip class? You won't pass., Clear grading criteria, Tests? Not many, Lecture heavy"
CHECK INFO,CHECK INFO,CHECK INFO,CHECK INFO,
Stephanie I. Fraley,3.8/5,N/A,2.5,None
Regina Marie Powers,4.5/5,75%,1.7,"Lots of homework, Caring, EXTRA CREDIT, Gives good feedback, Tough grader"
Ellen Gluzman,3.8/5,76%,2.8,"Accessible outside class, Caring, Skip class? You won't pass., Beware of pop quizzes, Gives good feedback"
Ross Ernes,4.9/5,100%,2.4,"Caring, Hilarious, Accessible outside class, Respected, Inspirational"
CHECK INFO,CHECK INFO,CHECK INFO,CHECK INFO,
Miguel Angel Castaneda,5/5,100%,4.3,"Respected, Skip class? You won't pass., Inspirational, Tough grader, Lecture heavy"
Daniel J Martinico,5/5,100%,2.8,"Participation matters, Graded by few things, Amazing lectures, Inspirational, Caring"
Madison Mae Williams,3.4/5,100%,2,"Get ready to read, Participation matters, Group projects, Clear grading criteria, Gives good feedback"
Paul Mpagi Sepuya,4.4/5,67%,2.4,"Accessible outside class, Inspirational, Lots of homework, Caring, Respected"
Anh-Thu T. Ngo,3.4/5,55%,3.8,"Tough grader, Participation matters, Group projects, Caring, Skip class? You won't pass."
Timothy C. Rickard,3.6/5,54%,3.4,"Test heavy, Tough grader, Skip class? You won't pass., Graded by few things, Clear grading criteria"
Garey Ramey,3/5,N/A,4.1,"Skip class? You won't pass., Tough grader, Clear grading criteria, Would take again, Inspirational"
Saharnaz Baghdadchi,5/5,89%,4,"Caring, Accessible outside class, Amazing lectures, Gives good feedback, Respected"
Hieu Tan Pham,4.1/5,95%,3.6,"Caring, Clear grading criteria, Lots of homework, Accessible outside class, Skip class? You won't pass."
David Fenning,N/A,N/A,N/A,
Don Uk Lee,4.5/5,86%,3.5,"Gives good feedback, Accessible outside class, Participation matters, Lecture heavy, Clear grading criteria"
Hannah Friederike,4.8/5,88%,2,"Amazing lectures, Gives good feedback, Caring, Lecture heavy, Accessible outside class"
CHECK INFO,CHECK INFO,CHECK INFO,CHECK INFO,
Jennifer Jean Deal,3.5/5,50%,2.9,"Skip class? You won't pass., Lots of homework, Clear grading criteria, Gives good feedback, Lecture heavy"
David Garcia Borgo,4.1/5,70%,2,"Get ready to read, Skip class? You won't pass., Clear grading criteria, Amazing lectures, Would take again"
Joshua R Kohn,3.4/5,30%,3.4,"Lecture heavy, Tough grader, Skip class? You won't pass., Participation matters, Test heavy"
Kevin John,5/5,100%,2,"Hilarious, Accessible outside class, Caring, Respected, Amazing lectures"
CHECK INFO,CHECK INFO,CHECK INFO,CHECK INFO,
Scott Rifkin,3.5/5,67%,3.6,"Tough grader, Lots of homework, Get ready to read, Skip class? You won't pass., Tests are tough"
George M Porter,5/5,100%,3,"Get ready to read, Caring, Accessible outside class, Participation matters, Group projects"
Kelsey Kathleen,5/5,100%,1.7,"Gives good feedback, Amazing lectures, Respected, Get ready to read, EXTRA CREDIT"
CHECK INFO,CHECK INFO,CHECK INFO,CHECK INFO,
Javier Mauricio Duarte,N/A,N/A,N/A,
Cynthia D,4/5,N/A,2.5,None
CHECK INFO,CHECK INFO,CHECK INFO,CHECK INFO,
Vladimir Rotar,4.4/5,100%,1.9,"Caring, Gives good feedback, Participation matters, Skip class? You won't pass., Would take again"
Seonhee Lim,4/5,100%,4.5,"Lecture heavy, Amazing lectures, Test heavy, Graded by few things"
Carolee Caffrey,3/5,45%,3.9,"Tough grader, EXTRA CREDIT, Lecture heavy, Amazing lectures, Test heavy"
Douglass Jane Forbes,4.5/5,95%,3.5,"Lecture heavy, Caring, Skip class? You won't pass., Respected, Inspirational"
Laura Jeanne Stevens,5/5,100%,3.3,"Amazing lectures, Caring, Respected, Inspirational, Accessible outside class"
Sanjiv Erat,3.6/5,100%,3.1,"Group projects, Respected, Test heavy, Tough grader, Amazing lectures"
Ameeth Varma Vijay,4.5/5,75%,3.4,"Get ready to read, Inspirational, Caring, Skip class? You won't pass., Tough grader"
Eva E,4/5,50%,3,"Tough grader, Amazing lectures, Hilarious, Caring"
CHECK INFO,CHECK INFO,CHECK INFO,CHECK INFO,
Eric Jeffrey,3.6/5,86%,4,"Lecture heavy, Tough grader, Caring, Graded by few things, Accessible outside class"
CHECK INFO,CHECK INFO,CHECK INFO,CHECK INFO,
Guillermo Algaze,3.9/5,45%,2.9,"Graded by few things, Get ready to read, Lecture heavy, Respected, Caring"
David Robert Tytler,2.3/5,19%,3.2,"Lots of homework, Test heavy, Lecture heavy, Tough grader, Get ready to read"
Yeshaiahu Fainman,N/A,N/A,N/A,
Michael R Davidson,1.8/5,0%,4,"Tough grader, EXTRA CREDIT, Test heavy"
Aaron Drews,4.5/5,84%,3.4,"Amazing lectures, Caring, Inspirational, Group projects, Clear grading criteria"
James D. Hamilton,3.3/5,84%,3,"Lecture heavy, Caring, Respected, Test heavy, Graded by few things"
Vivek A. Sharma,3.1/5,43%,4,"Tough grader, Get ready to read, Clear grading criteria, Tests are tough, Lots of homework"
Janet L. Smarr,3.5/5,67%,2.9,"Get ready to read, Skip class? You won't pass., Participation matters, Tough grader, Would take again"
Ravi Ramamoorthi,3/5,100%,4,"Clear grading criteria, Inspirational"
Nicholas J.,4/5,67%,3.4,"Skip class? You won't pass., Amazing lectures, Hilarious, Would take again, Inspirational"
CHECK INFO,CHECK INFO,CHECK INFO,CHECK INFO,
Timothy Ryan Wagner,3.1/5,86%,4.9,"Tough grader, Lecture heavy, EXTRA CREDIT, Participation matters, Lots of homework"
Robert Cancel,3.2/5,0%,3,"Would take again, Tough grader, Get ready to read, Participation matters, Amazing lectures"
Scott Leland Carlson,3.4/5,67%,3.6,"Amazing lectures, Lots of homework, Hilarious, Gives good feedback, Caring"
Carol Arcos Herrera,5/5,100%,4,"Clear grading criteria, Gives good feedback, Accessible outside class"
Jenna Joaquin Lawrence,5/5,100%,2,"Participation matters, Gives good feedback, Lecture heavy"
Jishen Zhao,2.8/5,50%,2.4,"Caring, Tough grader, Amazing lectures, Clear grading criteria, Graded by few things"
Ralph J. Greenspan,3.3/5,0%,3,"Tough grader, Beware of pop quizzes, Lecture heavy"
Lamar Perry,2.5/5,43%,3.8,"Lecture heavy, Graded by few things, Accessible outside class, Skip class? You won't pass., Test heavy"
Hailey Jimin Kwon,2.9/5,47%,4,"Tough grader, Skip class? You won't pass., Participation matters, Gives good feedback, Lots of homework"
Beverly Marcella Naigles,3.3/5,84%,2.9,"Tough grader, Skip class? You won't pass., EXTRA CREDIT, Caring, Respected"
Arturs Semenuks,N/A,N/A,N/A,
Gail D. Heyman,4.5/5,63%,3.3,"Skip class? You won't pass., Get ready to read, Lecture heavy, Test heavy, Tough grader"
Vineet Bafna,2.6/5,67%,3.6,"Group projects, Caring, Lecture heavy, Accessible outside class"
Patricia Ann Benitez Hemans,3.3/5,N/A,2.5,None
Joshua Vanjaymes Tonies,4.9/5,100%,2,"Caring, Gives good feedback, Inspirational, Group projects, Hilarious"
Ramsin Khoshabeh,N/A,N/A,N/A,
Thomas R Bewley,2/5,0%,4.8,"Tough grader, Tests are tough, Lecture heavy, Get ready to read, Lots of homework"
Scott Desposato,3.8/5,76%,3.4,"EXTRA CREDIT, Lots of homework, Caring, Respected, Lecture heavy"
Elizabeth Ann Newsome,3.3/5,80%,2.4,"Respected, Amazing lectures, Caring, Clear grading criteria, Would take again"
Matthew Herbst,4.6/5,89%,3.1,"Get ready to read, Amazing lectures, Respected, Inspirational, Skip class? You won't pass."
Steven B. Levkoff,5/5,80%,4.4,"Amazing lectures, Tough grader, Skip class? You won't pass., Respected, Clear grading criteria"
Diego Velasco,5/5,100%,1.5,"EXTRA CREDIT, Amazing lectures, Clear grading criteria, Inspirational, Hilarious"
Nattalie Tamam,2.9/5,47%,3.7,"Tough grader, Lecture heavy, Get ready to read, Lots of homework, Caring"
Zeinabu I. Davis,3.1/5,60%,3.1,"Group projects, Would take again, Gives good feedback, Inspirational, Caring"
Steven Thomas,4.1/5,75%,3.4,"Get ready to read, Graded by few things, Amazing lectures, Lecture heavy, Participation matters"
CHECK INFO,CHECK INFO,CHECK INFO,CHECK INFO,
Alex Orailoglu,2.8/5,19%,4.9,"Tough grader, Lots of homework, Skip class? You won't pass., Tests are tough, Test heavy"
Paul Kaplan,3.5/5,100%,3.5,"Lecture heavy, Graded by few things, Skip class? You won't pass."
Taylor Mackenzie Chapin,3.7/5,N/A,1.4,None
Olga Dudko,4.3/5,89%,2.6,"Skip class? You won't pass., EXTRA CREDIT, Clear grading criteria, Respected, Get ready to read"
Monte Johnson,5/5,100%,3.3,"Get ready to read, Caring, Gives good feedback, Participation matters, EXTRA CREDIT"
Kevin P Green,4.6/5,100%,2.2,"Caring, EXTRA CREDIT, Skip class? You won't pass., Get ready to read, Amazing lectures"
Marianna Gasperi,5/5,100%,3.2,"Inspirational, Respected, Amazing lectures, Caring, Would take again"
Lauren Elizabeth Shipp,4.8/5,75%,3.7,"Tough grader, Gives good feedback, Caring, Clear grading criteria, Skip class? You won't pass."
Eun Sun Tark,5/5,100%,2,"Caring, Amazing lectures, Clear grading criteria, Gives good feedback, Respected"
Kimloan T.V. Hill,2.7/5,0%,3.6,"Tough grader, Skip class? You won't pass., Participation matters, Lecture heavy, Test heavy"
Anna Joy Springer,4.4/5,72%,3.3,"Get ready to read, Participation matters, Inspirational, Hilarious, Amazing lectures"
Alena J Williams,2.4/5,60%,3.5,"Get ready to read, Tough grader, Participation matters, Lots of homework, Inspirational"
Fabian Trottner,5/5,100%,2.9,"Amazing lectures, Lecture heavy, Clear grading criteria, Test heavy, Graded by few things"
Wenxin Zhou,2.5/5,34%,3.6,"Tough grader, EXTRA CREDIT, Clear grading criteria, Lots of homework, Test heavy"
Martin F. Yanofsky,3.9/5,N/A,2.8,None
Michael D Burkart,3.5/5,72%,3.4,"Tough grader, Lecture heavy, Graded by few things, Test heavy, Caring"
Viswanathan Krishnan,4.8/5,100%,2.9,"Inspirational, Amazing lectures, Respected, Gives good feedback, Skip class? You won't pass."
Grant Todd Goodall,5/5,100%,2.5,"Skip class? You won't pass., Caring, Graded by few things, Get ready to read, Amazing lectures"
Geoffrey Stephen Nathan,4/5,70%,4,"Get ready to read, Tough grader, Amazing lectures, Accessible outside class, Gives good feedback"
Yunde Zhao,3.6/5,48%,3.1,"Lecture heavy, Tough grader, Respected, Test heavy, EXTRA CREDIT"
Oscar Vazquez,2.6/5,29%,3.5,"Get ready to read, Lecture heavy, Graded by few things, Tough grader, Clear grading criteria"
CHECK INFO,CHECK INFO,CHECK INFO,CHECK INFO,
Darren John Lipomi,4.6/5,89%,3.8,"Respected, Amazing lectures, Inspirational, Clear grading criteria, Would take again"
Kenneth Walter Bates,3.5/5,59%,3.5,"Group projects, Amazing lectures, Lecture heavy, Get ready to read, Skip class? You won't pass."
Shane Nicholas Anderson,4.5/5,N/A,2.4,"Tough grader, Participation matters, Clear grading criteria"
Kalyanasundaram Seshadri,4/5,N/A,2,None
Jeyseon Lee,4.4/5,60%,2.8,"Lots of homework, Test heavy, Clear grading criteria, Tough grader, Get ready to read"
Bas Ben Martien Tonissen,FAILED SEARCH,FAILED SEARCH,FAILED SEARCH,
Bas Tonissen,N/A,N/A,N/A,
Eddie Nathaniel Chapman,4.4/5,86%,2.4,"Clear grading criteria, Get ready to read, Amazing lectures, Lots of homework, Group projects"
Justin Loren,3.8/5,100%,3.4,"Respected, Clear grading criteria, Lecture heavy, Accessible outside class, Caring"
CHECK INFO,CHECK INFO,CHECK INFO,CHECK INFO,
Christopher D. Charles,3.5/5,100%,2,"Participation matters, Group projects, Beware of pop quizzes, Caring, Respected"
Jeffrey C Gagnon,4.6/5,91%,2.4,"Inspirational, Caring, Amazing lectures, Gives good feedback, Respected"
Zeyu Liu,3.3/5,34%,2.8,"Test heavy, Amazing lectures, Respected"
Sherice Nicole,1/5,0%,3.7,"Participation matters, Graded by few things, Tough grader, Get ready to read"
CHECK INFO,CHECK INFO,CHECK INFO,CHECK INFO,
Mary Cameron Klann,5/5,100%,2.5,"Gives good feedback, Respected, Clear grading criteria, Caring, Inspirational"
Ji Zeng,2.6/5,42%,4.3,"Tough grader, Test heavy, Get ready to read, Amazing lectures, Lots of homework"
Hanna Fitzmaurice,FAILED SEARCH,FAILED SEARCH,FAILED SEARCH,
CHECK INFO,CHECK INFO,CHECK INFO,CHECK INFO,
Rihan Wen Xin Yeh,4.6/5,80%,3.6,"Participation matters, Get ready to read, Inspirational, So many papers, Caring"
Frank E Talke,3.3/5,0%,4.2,"Lots of homework, Test heavy, Tough grader, Get ready to read"
Michael David,3.8/5,0%,3.6,"Tough grader, Test heavy, Skip class? You won't pass., Clear grading criteria, Would take again"
Philip G Roeder,4.8/5,84%,3,"Get ready to read, Respected, Clear grading criteria, Lecture heavy, Graded by few things"
Linda G. Strause,4.3/5,90%,2.5,"Respected, Caring, Amazing lectures, Accessible outside class, Clear grading criteria"
CHECK INFO,CHECK INFO,CHECK INFO,CHECK INFO,
Bruna Maria,N/A,N/A,N/A,
CHECK INFO,CHECK INFO,CHECK INFO,CHECK INFO,
